Product,Website,Taxonomy,Level 2 (from Taxonomy),Level 3 (from Taxonomy),Tags,Compatible With,Description
Stability Audio,https://stability.ai/stable-audio,Software,Audio,SFX/Music,"AI,Music,Generator",,"Stable Audio 2.0 builds upon Stable Audio 1.0, redefining AI music creation by offering high-quality tracks up to three minutes long with its innovative audio-to-audio generation. Users can now upload audio samples and, using natural language prompts, transform these samples into a wide array of sounds."
MusicGen,https://musicgen.com/,Software,Audio,SFX/Music,"AI,Music,Generator",,"Introducing MusicGen: a powerful single Language Model (LM) redefining the boundaries of conditional music generation, with the ability to create high-quality music by taking cues from text descriptions or melodies. Extensive studies have confirmed the superior performance of MusicGen compared to existing approaches. To witness the astonishing capabilities of MusicGen, you can explore a collection of impressive music samples and access the code at github.com/facebookresearch/audiocraft. Prepare to be amazed by the future of music composition."
MusicLM,https://musiclm.com/,Software,Audio,SFX/Music,"AI,Music,Generator,Text-to-Music",,"MusicLM is a text-based AI model that revolutionizes the world of music generation and composition. Developed using the state-of-the-art artificial intelligence architecture, MusicLM can create original music across various genres and styles based on text prompts. The model produces rich, high-fidelity melodies from simple text descriptions, redefining conditional music generation through a sophisticated hierarchical sequence-to-sequence modeling process. The underyling dataset consists of 5.5k curated music-text pairs. Each pair includes a carefully crafted text description provided by human experts, offering a wealth of opportunities for researchers and music enthusiasts alike."
DAACI,https://daaci.com/,Software,Audio,SFX/Music,"AI,Music,Generator,Percussion",,"Natural Drums, your assistive AI co-pilot plugin, creates drum grooves in real time, as if a session drummer is right there with you in your studio bringing your ideas to life. "
Harmonai,https://www.harmonai.org/,Software,Audio,SFX/Music,"AI,Music,Gen AI,Generator,Open Source",,A Stability AI Lab releasing open-source generative audio tools to make music production more accessible and fun for everyone
Eleven Labs,https://elevenlabs.io/,Software,Audio,Voice,"Text-to-Speech,AI,Audio",,"ElevenLabs is an AI audio research and deployment company. Our mission is to make content universally accessible in any language and in any voice.

Our research team develops AI audio models that generate realistic, versatile and contextually-aware speech, voices, and sound effects across 32 languages. Our product team tailors these models to the needs of everyday users, prosumers, and businesses."
LMNT,https://app.lmnt.com/,Software,Audio,Voice,"AI,Voice,API,Text-to-Speech",,LMNT is an API for text-to-speech and voice cloning.
Voice AI,https://voice.ai/,Software,Audio,Voice,"Free,AI,Voice",,A large ecosystem of AI voice tools.
Voicemod,https://www.voicemod.net/,Software,Audio,Voice,"AI,Free,Voice","Roblox,OBS,Discord","Express yourself with our real-time AI Voice Changer and soundboard to be who you want, when you want in the metaverse. Build your sonic identity for platforms like Roblox, OBS, VRChat, Discord, and more. "
Replica Studios,https://www.replicastudios.com/,Software,Audio,Voice,"AI,Text-to-Speech,API",,"Replica provides cutting edge text to speech, and speech to speech solutions in multiple languages for creative professionals, with fully licensed AI models safe for commercial use."
High Fidelity,https://www.highfidelity.com/,Software,Audio,Voice,"Voice,Web,SDK,Native",,High Fidelity's Audio SDK defines a virtual audio space for 2D or 3D applications.
ReadSpeaker,https://www.readspeaker.com/applications/gaming/,Software,Audio,Voice,"Runtime,Text-to-Speech","Unity,Unreal",The ReadSpeaker game engine plugins for Unity and Unreal allow you to add dynamic text-to-speech functionality to your games at runtime.
Hume EVI,https://www.hume.ai/products#empathicVoiceInterface,Software,Audio,Voice,"Real-time,Customisable,Voice,AI",,"Hume is a research lab and technology company. Our mission is to ensure that artificial intelligence is built to serve human goals and emotional well-being.

Our latest voice-to-voice model converses rapidly and fluently with users, understands users' tone of voice, and generates the right tone of voice. Capable of emulating a wide range of personalities, accents, and speaking styles, it can be tailored to each application and user."
Deep Motion,https://www.deepmotion.com/,Software,Characters,Animation & MoCap,"AI,Motion Capture,Animation",,"DeepMotion is committed to building the largest AI-generated animation platform for entertainment, social media & the Metaverse."
Latent Technology,https://www.latent-technology.com/,Software,Characters,Animation & MoCap,"Gen AI,Physics,Animation",,"Traditional animation is limited, unrealistic and bound to game design. The industry solution typically implies scaling up the team. We believe giving the characters the autonomy to decide how to move in real time, leveraging the latest advancements in reinforcement learning and generative modelling, has the potential to change everything. One step in our mission: to reinvent how virtual worlds are created and experienced using cutting-edge technology."
Plask,https://plask.ai/en-US,Software,Characters,Animation & MoCap,"AI,Animation,Motion Capture",,Transform any video into professional 3D Animation with AI motion capture.
Wonder Dynamics,https://wonderdynamics.com/,Software,Characters,Animation & MoCap,"AI,Animation",,"An AI tool that automatically animates, lights and composes CG characters into a live-action scene."
Kinetix,https://www.kinetix.tech/,Software,Characters,Animation & MoCap,"AI,UGC,Animation",,"Turn your players into creators by enabling them to generate custom emotes from any video. Boost your game engagement, revenue and user acquisition with AI-powered UGC."
Move,https://www.move.ai/,Software,Characters,Animation & MoCap,"AI,Motion Capture",,Move AI's markerless motion capture products make it easy to capture and create 3D animations.
Radical Motion,https://radicalmotion.com/,Software,Characters,Animation & MoCap,"AI,Motion Capture,Collaboration",,"AI motion capture for 3D animation, and collaborative tools for real-time visualization."
Arcturus HoloCapture,https://arcturus.studio/https://arcturus.studio/capture/,Software,Characters,Animation & MoCap,Motion Capture,,The ultimate software to transform human performance into volumetric video and play them back anywhere. HoloCapture offers a comprehensive volumetric pipeline; each component available individually upon request.
ailive,https://www.ailive.world/,Software,Characters,Animation & MoCap,"Gen AI,Animation",,Generative AI powered 3D animating tool that lets your characters come alive with just a few keystrokes.
Synertial,https://www.synertial.com/,Software,Characters,Animation & MoCap,Motion Capture,,"Created from 25+ years of mocap expertise, all Synertial products utilise innovative cutting-edge IMU technology for outstandingly high capture speeds. Patent-pending 15-axis saturation-resistant technology, 4K deg/sec gyros plus a minimum of 200 FPS, the G6 range is redefining inertial motion capture."
Animatric,https://www.animatric.ai/,Software,Characters,Animation & MoCap,"Animation,3D,AI,API","Blender,Unreal","Built on a vast proprietary dataset of hundreds of thousands of unique motion capture clips, Animatric offers an expansive range of animation categories. From simple movements, through everyday activities, to choreographies in dance and martial arts —Animatric provides lifelike and diverse animations for any narrative or scenario."
DI4D,https://di4d.com/,Software,Characters,Animation & MoCap,Animation,,"From ‘Blade Runner 2049’ to ‘Call of Duty: Modern Warfare’, we provide performance-driven facial animation services for the world’s most lifelike digital humans. We’re proud to be the partner of choice for studios including Activision, DNEG, Moving Picture Company, Remedy Entertainment, Sony Imageworks, Warner Brothers, Electronic Arts and more."
Faceware,https://facewaretech.com/,Software,Characters,Animation & MoCap,Motion Capture,"Unity,3DS Max,Unreal,Maya",Our facial motion capture hardware and software combine cutting-edge technology and intuitive artist-friendly workflows to help professional animators accurately capture facial performances and create believable facial animation quickly and reliably.
Optitrack,https://optitrack.com/,Software,Characters,Animation & MoCap,"Motion Capture,Hardware,Animation,Software","Blender,Unreal,Maya,Unity,OpenVR,MotionBuilder",A full ecosystem of motion capture hardware & software.
meshcapade,https://meshcapade.com/,Software,Characters,Animation & MoCap,"3D,Animation,Avatars,API","Fortnite,Unreal,Blender,Maya","Meshcapade is leveraging computer vision, graphics and large models to build digital humans that act and interact in 3D. We are the creators of the core technology powering 3D human understanding in academia and industry. Our mission is to build foundation models that enable digital humans to see, understand, and behave just like real people."
Movin3D,https://www.movin3d.com/,Software,Characters,Animation & MoCap,"AI,Motion Capture,Real-time,Hardware",,MOVIN was founded by motion capture researchers with extensive experience in the field.
QUALISYS,https://www.qualisys.com/,Software,Characters,Animation & MoCap,Motion Capture,,"Qualisys is a leading provider of precision motion capture and 3D positioning tracking system.

We have supplied a variety of industries with high-end camera systems and expertise for more than 30 years."
Speech Graphics,https://www.speech-graphics.com/,Software,Characters,Animation & MoCap,"Animation,NPCs,Avatars",,"At Speech Graphics we specialize in one of the holy grails of computer facial animation: automatic, accurate lip sync. "
text2motion,https://www.text2motion.ai/,Software,Characters,Animation & MoCap,"Animation,AI,API,Gen AI","Blender,Unity,Unreal,Godot",Accelerate the process of bringing your characters to life.
VICON,https://www.vicon.com/,Software,Characters,Animation & MoCap,"Motion Capture,Software,Hardware",,"We have revolutionized the motion capture industry for over 40 years, by pioneering a range of technologies – from optical to inertial and VR – to allow our customers to capture and analyze motion of all kinds."
Movella,https://www.movella.com/,Software,Characters,Animation & MoCap,Motion Capture,"Maya,Unreal,Unity,Blender,Notch,MotionBuilder","When it comes to games, we’re not playing around. With Xsens motion capture solutions, studios of all sizes can cost-effectively speed up animation of characters for games and in-game cinematics with inertial motion capture."
Yanus Studio,https://www.yanusstudio.com/,Software,Characters,Animation & MoCap,Animation,,"Yanus STUDIO addresses the issues of poor quality often seen in existing facial systems and was developed to enable the easy creation of high-quality facial animations.

For professional facial solutions, we utilize a high-resolution camera for shooting, called the YanusCAM, which is an HMC (Head Mounted Camera).

It allows stable facial capture and, combined with a wireless system and lighting, ensures the acquisition of high-quality footage."
Creature Bionics,https://www.creaturebionics.com/,Software,Characters,Animation & MoCap,"Motion Capture,Hardware,Animation",,"Our creature performance rigs are designed to act as additional limbs to help an actor/performer resemble the skeleton/anatomy of a specific creature/fantasy character for performance purposes. The rigs are solely operated by the movement/control of the individual’s body and require no additional support.

Our rigs are ideal for VFX reference, motion capture, and visual reference for cast members and the director."
Motorica,https://www.motorica.ai/,Software,Characters,Animation & MoCap,"Animation,Characters,Gen AI",,"Craft AAA animation in minutes with our Generative AI mocap actor.
No capture. No cleanup. Just animate."
Mixamo (Adobe),https://www.mixamo.com/#/,Software,Characters,Animation & MoCap,"Animation,Characters,Game Assets",,"Bring your projects to life with 3D characters, skeletal rigs, and animations, ready for use in film, games, interactive experiences and illustration."
akeytsu,https://www.nukeygara.com/,Software,Characters,Animation & MoCap,"3D,Animation",,"The dedicated animation toolset bringing more creativity into your workflow. Designed by and for animators, akeytsu is the most accessible and effective rigging and keyframe animation software to breath life into 3D characters, bipedes and creatures."
Cascadeur,https://cascadeur.com/,Software,Characters,Animation & MoCap,"Animation,Characters,3D",,"Cascadeur is a standalone 3D software that lets you create keyframe animation, as well as clean up and edit any imported ones. Thanks to its AI-assisted and physics tools you can dramatically speed up the animation process and get high quality results. It works with .FBX, .DAE and .USD files making it easy to integrate into any animation workflow."
LWF,https://gree.github.io/lwf/,Software,Characters,Animation & MoCap,"2D,Animation",,"LWF is an animation engine which can play animation data converted from FLASH contents in HTML5, Unity, Cocos2d-x, iOS UIKit, and more. LWF is designed to make game development easy and fun."
REPLIKANT,https://www.replikant.com/,Software,Characters,Animation & MoCap,"AI,3D,Animation",,"REPLIKANT’s AI-assisted 3D animation platform enables creators of all skill levels to create studio quality content instantly.
‍
Our advanced tools are designed to be user-friendly, enabling creatives, brands & their communities to produce high-fidelity, next-gen 3D characters, digital humans, animated content & immersive experiences with ease."
Ready Player Me,https://readyplayer.me/,Software,Characters,Characters & Avatars,"Avatars,Cross-Game,Personalisation","Unity,Unreal,Web","Ready Player Me is a cross-game avatar platform for Unity, Unreal Engine, and all web-based stacks. Explore our guides and examples to integrate Ready Player Me Avatar Creator into your apps or games."
Character,https://character.ai/,Software,Characters,Characters & Avatars,AI,,"Our mission is to empower everyone globally with personalized AI. We were founded by AI pioneers Noam Shazeer and Daniel De Freitas, and we make one of the world’s leading personal AI platforms, Character.AI. Character.AI is a full-stack AI company with a globally scaled direct-to-consumer platform. We are uniquely centered around people, letting users personalize their experience by interacting with AI “Characters.”"
avataryug,https://avataryug.com/,Software,Characters,Characters & Avatars,Avatars,,"We help Brands to engage, retain and monetize customers using immersive experiences."
copresence,https://www.copresence.tech/,Software,Characters,Characters & Avatars,"AI,Avatars,Personalisation",,Use copresence’s powerful AI to create your digital likeness in minutes.
DIDIMO - Popul8,https://www.didimo.co/,Software,Characters,Characters & Avatars,"3D,SDK","Unreal,Unity,Blender,Maya","With Popul8, transform your 3D character production pipeline by automating the creation of diverse, high-quality characters at scale. Elevate your game's creativity, optimize production costs, and accelerate time-to-market."
npcx,https://npcx.ai/,Software,Characters,Characters & Avatars,"AI,Avatars",,"At NPCx, we're pioneering advancements in digital technology to empower creators worldwide. Through cutting-edge AI and biomechanical algorithms, we're revolutionizing the way digital content is crafted and experienced.

Our expertise lies in capturing, analyzing, and reproducing lifelike motion and behavior on a massive scale. From enhancing motion capture processes to simplifying animation retargeting, our solutions streamline creative pipelines, enabling richer, more immersive digital experiences.

Whether it's in video games, film, XR, or simulations and training, our mission remains the same: the use of cutting edge technology to provide creators with the tools they need to unleash their creativity and bring their visions to life in ways previously thought impossible."
AVATAR SDK,https://avatarsdk.com/,Software,Characters,Characters & Avatars,"SDK,Avatars,3D,Personalisation","Unity,Unreal",Likelike avatars via MetaPerson. Revolutionary 3D avatar builder.
Altera,https://altera.al/,Software,Characters,Characters & Avatars,"Avatars,Personalisation,AI",,"We build machines with fundamental human qualities, starting with friends that can play video games with you."
Landvault,https://landvault.io/,Software,Characters,Characters & Avatars,"Web,Avatars",,"We help brands and governments build, publish, and monetize digital twins & immersive experiences on the web."
Daz 3D,https://www.daz3d.com/,Software,Characters,Characters & Avatars,"3D,Characters","Unity,Unreal,Blender,Maya,3DS Max",The integrated character creation system in our free 3D software forms the cornerstone of Daz’s ecosystem
Character Creator (Reallusion),https://www.reallusion.com/character-creator/,Software,Characters,Characters & Avatars,"3D,Characters",,"Character Creator (CC) is a full character creation solution for designers to easily generate, import and customize stylized or realistic character assets for use with iClone, Maya, Blender, Unreal Engine, Unity, or any other 3D tools. CC connects industry-leading pipelines with one system for 3D character generation, animation rigging, asset management, look-dev rendering, and interactive design."
BITPART,https://www.bitpart.ai/,Software,Characters,Characters & Avatars,"AI,Characters,NPCs,Agents","Unity,Unreal,Roblox","Bitpart AI gives intelligence to NPCs to play their roles, right out of the box, and web-based tools to make them your own. 

Bitpart is designed for game studios.  Our team of game industry veterans and AI experts have over 75 years of combined experience in game development. Team members have contributed to game engines, middleware, and more than 40 shipped video game titles in previous roles."
Digital Humans,https://www.digitalhumans.com/,Software,Characters,Characters & Avatars,"AI,Humans,Gen AI",,"Tackle lack of engagement, underwhelming conversion, and low retention with real-time interactive digital humans designed for 1:1 personalized conversations – at scale."
Convai,https://www.convai.com/,Software,Characters,NPCs & Chatbots,"AI,NPCs","Unity,Unreal,Roblox,Discord","Convai is a platform for developers and creators. It provides the most intuitive interface for designing characters with multimodal perception abilities in both virtual and real world environments. Creators, game designers, and developers can modify the NPC's backstory, personality, and knowledge at any given moment via the playground or programmatically through the API."
Virtual Beings,https://virtualbeings.co/,Software,Characters,NPCs & Chatbots,"AI,No-Code",,"For more than a decade, all our R&D has gone into KuteEngine™, our behavioral AI engine making truly immersive AI characters for games and the metaverse."
Charisma,https://charisma.ai/,Software,Characters,NPCs & Chatbots,AI,,"Charisma.ai enables safe, realistic and engaging voice conversations with virtual characters. Our vision is to bring characters to life that transform interactive experiences into life-like, dynamic and believable scenarios. Our story engine features unique controllable AI, so you can guarantee that your characters will say what you want them to say, with GenAI improvisations from OpenAI and Anthropic, all within our simple story graph."
Inworld,https://inworld.ai/,Software,Characters,NPCs & Chatbots,"AI,NPCs,API",,"Give players groundbreaking game mechanics, dynamic NPCs, and worlds that evolve with each action. Whether you're looking to unlock new player experiences, streamline game design, or future proof your AI infrastructure, Inworld helps uplevel your game development with AI."
rct.ai,https://rct.ai/en-us/,Software,Characters,NPCs & Chatbots,"AI,Gen AI,NPCs,Agents",,"rct AI is providing AI solutions to the game industry and building the true Metaverse with AI generated content. By using cutting-edge technologies, especially deep learning and reinforcement learning, rct AI creates a truly dynamic and intelligent user experience both on the consumers’ side and production’s side."
Aseprite,https://www.aseprite.org,Software,Design & Graphics,2D Design,"2D,Paid",,"Aseprite lets you create 2D animations for videogames. From sprites, to pixel-art, retro style graphics, and whatever you like about the 8-bit and 16-bit era."
Libresprite,https://libresprite.github.io/#!/,Software,Design & Graphics,2D Design,"2D,Free,Open Source",,LibreSprite is a free and open source program for creating and animating your sprites.
Pyxel Edit,https://pyxeledit.com/,Software,Design & Graphics,2D Design,"Sprites,Pixel Art,2D",,"Pyxel Edit is a pixel art editor designed to make it fun and easy to make tilesets, levels and animations."
Spine (esoteric software),https://esotericsoftware.com/,Software,Design & Graphics,2D Design,"2D,Animation",,"Animation brings video games alive. We believe creating great 2D animation requires not only powerful software, but a powerful workflow. Spine is dedicated to 2D skeletal animation, providing an efficient workflow both for creating amazing animation and for integrating it into your games."
Tiled,https://www.mapeditor.org/,Software,Design & Graphics,2D Design,"2D,Maps,Editor",,"Tiled is a 2D level editor that helps you develop the content of your game. Its primary feature is to edit tile maps of various forms, but it also supports free image placement as well as powerful ways to annotate your level with extra information used by the game. Tiled focuses on general flexibility while trying to stay intuitive."
PISKEL,https://www.piskelapp.com/,Software,Design & Graphics,2D Design,"Animation,Sprites,2D,Pixel Art",,Piskel is a free online editor for animated sprites & pixel art.
LDtk,https://ldtk.io/,Software,Design & Graphics,2D Design,"2D,Maps,Editor,Levels,Free,Open Source",,"LDtk is my dream level editor, built from 20+ years of experience creating video games."
Ogmo Editor,https://ogmo-editor-3.github.io/,Software,Design & Graphics,2D Design,"2D,Free,Open Source,Levels,Editor",,"OGMO Editor is a free, open source, project oriented level editor made for indie game developers by indie game developers."
Graphite,https://graphite.rs/,Software,Design & Graphics,2D Design,"2D,Content Creation,Free,Open Source,Design Tool",,"Graphite is a free, open source vector and raster graphics engine, available now in alpha. Get creative with a nondestructive editing workflow that combines layer-based compositing with node-based generative design."
Dungeon Scrawl,https://www.dungeonscrawl.com/,Software,Design & Graphics,2D Design,"Maps,Design,Design Tool,Free",,Create D&D battlemaps with ease using this simple yet effective free online mapmaking tool.
Common Sense Machines,https://www.csm.ai/,Software,Design & Graphics,3D Design,"AI,Game Assets,Production",,Turbocharge 3D production workflows with CSMs end to end 3D asset generator.
uthana,https://uthana.com/,Software,Design & Graphics,3D Design,"Animation,3D,AI",,Animate your character at the speed of your imagination.
Kaedim,https://www.kaedim3d.com/,Software,Design & Graphics,3D Design,"Game Assets,3D,ML,Content Creation",,"Kaedim offers a ready-to-scale, on-demand platform for
3D content creation, empowering game developers to
create stunning graphics and ship 10x faster."
Layer,https://www.layer.ai/,Software,Design & Graphics,3D Design,"AI,Design Tool",,"Layer empowers game studios to create professional in-game content, marketing, and live ops art at scale without limits."
Leonardo.ai,https://leonardo.ai/,Software,Design & Graphics,3D Design,"AI,API,Gen AI,Design",,"Leonardo.Ai is an AI-powered app and platform that helps users create visual assets, such as images, videos, and 3D models, using generative AI."
Sloyd,https://www.sloyd.ai/,Software,Design & Graphics,3D Design,"Gen AI,3D,Game Assets",,Customizable models made by humans. Assembled and stylized by AI.
Storyteller,https://storyteller.ai/,Software,Design & Graphics,3D Design,"AI,3D,Animation",,"Our mission is to empower anyone to create full feature-length content from home without institutional capital, large teams, huge amounts of time, or deep reservoirs of highly specialized talent. We give everyone their turn in the director’s seat and turn dreams into physical form."
Abstract,https://theabstract.co/,Software,Design & Graphics,3D Design,"Real-time,Collaboration,3D",,"Abstract was born from the success of InstaLOD, a revolutionary solution that turbo charges 3D productions: from compressing or retargeting assets for new platforms to automating workflows and CAD to 3D conversions. This success story began when our CEO, Manfred M. Nerurkar, realized that the potential of 3D technology was being underutilized. With InstaLOD’s success, he envisioned a broader platform that could not only enhance productivity but also scale up the capabilities of 3D content creation, management and collaboration."
Anything,https://anything.world/,Software,Design & Graphics,3D Design,"Animation,3D,Game Assets,AI","Web,Discord,Blender,Maya,Unreal,Roblox,Unity","We're a fresh startup making 3D creation accessible to all through AI. We automate the most tedious tasks in bringing 3D worlds to life, and our useful, intuitive and flexible tools make the 3D production process much easier and faster, letting you immerse yourself in the creative process so much more."
Autodesk - Maya,https://www.autodesk.com/uk/products/maya/overview,Software,Design & Graphics,3D Design,"3D,VFX,Animation",,Autodesk Maya is professional 3D software for creating realistic characters and blockbuster-worthy effects.
SideFx - Houdini Engine,https://www.sidefx.com/products/houdini-engin,Software,Design & Graphics,3D Design,"VFX,Collaboration,Simulation","Unity,Unreal,Maya","Houdini Engine brings a procedural node-based approach to your favorite app. Build networks that define a recipe that can be applied over and over, then wrap them up to create custom smart assets. Share these assets with colleagues who can load them directly into 3D apps such as Autodesk® Maya® or Autodesk® 3ds Max® or into game editors such as Unity® or Unreal Engine.®"
Marvelous Designer,https://www.marvelousdesigner.com/,Software,Design & Graphics,3D Design,"3D,Cloth,Game Assets,3d modeling",,The ultimate digital cloth creation tool for 3D artists.
Meshy,https://www.meshy.ai/,Software,Design & Graphics,3D Design,"AI,3D,3d modeling","Unity,Blender,API","Meshy is your 3D generative AI toolbox for effortlessly creating 3D assets from text or images, accelerating your 3D workflow. With Meshy, you can create high-quality textures and 3D models in minutes."
Style 3D,https://www.linctex.com/,Software,Design & Graphics,3D Design,"AI,3D,Cloth,Fashion",,"Combining state-of-the-art AI and simulation technology, Style3D offers digital fashion software, platforms, solutions, and services for both individuals and enterprises."
yellow3d,https://yellow3d.com/,Software,Design & Graphics,3D Design,"AI,3D,Game Assets,Game Art",,"Our team of world class scientists and designers are combining the most advanced 3D AI with the most powerful creative tools to create products that operate in service to human imagination.   With our suite of tools, professional game-makers, creative studios and digital world builders can realize further-reaching visions faster and multiply the scale of experiences that can be built and shared."
RapidCompact,https://www.rapidcompact.com/,Software,Design & Graphics,3D Design,"Automation,3D,Design Tool,Workflow",,The tool that streamlines your 3D workflows.
SIMPLYGON,https://www.simplygon.com/,Software,Design & Graphics,3D Design,"3D,Optimisation,Game Assets",,The Standard in 3D Games Content Optimization
Blender,https://www.blender.org/,Software,Design & Graphics,3D Design,"3D,Design,Design Tool,Free,Sculpting,Animation,Video",,Get the world’s best 3D CG technology in the hands of artists as free/open source software.
Strata,https://www.strata.com/,Software,Design & Graphics,3D Design,3d modeling,,3D modelling software
Quixel Megascans,https://quixel.com/bridge,Software,Design & Graphics,3D Design,"3D,Game Assets,Scans",,"Discover every scan imaginable
Thousands of 3D assets, tileable surfaces, vegetation, imperfections, atlases, decals and much more, from urban to natural, with hundreds of new assets scanned weekly. Get a head start with everything you need from day 1, and use your creativity where it matters most."
Autodesk Maya,https://www.autodesk.com/uk/products/maya/overview?term=1-YEAR&tab=subscription,Software,Design & Graphics,3D Design,"3D,VFX,Animation",,"Autodesk Maya is professional 3D software for creating realistic characters and blockbuster-worthy effects. Bring believable characters to life with engaging animation tools. Shape 3D objects and scenes with intuitive modelling tools. Create realistic effects – from explosions to cloth simulation.

"
Autodesk Tinkercad,https://www.tinkercad.com/,Software,Design & Graphics,3D Design,"3D,Educational,Code",,"Tinkercad is a free web app for 3D design, electronics, and coding, trusted by over 75 million people around the world."
Qubicle Minddesk,https://minddesk.com/,Software,Design & Graphics,3D Design,"3D,3d modeling,Game Art,Game Assets",,Qubicle is a professional voxel editor optimized for the easy creation of 3D models
Poly Haven,https://polyhaven.com/,Software,Design & Graphics,3D Design,"3D,Game Assets,Public",,"Poly Haven is a curated public asset library for visual effects artists and game designers, providing useful high quality 3D assets in an easily obtainable manner.

There are no paywalls, accounts or email forms required, just download an asset and use it without worry.

All assets here are CC0, which means they're practically free of copyright and you may use them for absolutely any purpose."
